t (s),x (m),y (m),z (m),vx (m/s),vy (m/s),vz (m/s),v (m/s),Mach
5.7077700581837805,9.768530097421648,787.8594572720212,138.49180161065908,2.7845805835432214,105.79688450817687,-7.523179041649698,106.10057909151806,0.312258168476211
5.71777005818378,9.796388560125898,788.9170476475133,138.4161058450909,2.787111165740092,105.72120884132055,-7.615963895590601,106.03181076252186,0.3120555137789328
5.72777005818378,9.82427230490299,789.973881813322,138.33948253605976,2.7896369981766784,105.64564250812704,-7.708687755152212,105.9632375989098,0.31185343053962306
5.73777005818378,9.852181284252241,791.0299608610421,138.26193229287188,2.792158079843354,105.5701851727336,-7.801350748625411,105.89485925979209,0.3116519177620528
5.74777005818378,9.880115450663487,792.0852858788962,138.18345572355517,2.794674410619969,105.49483647258481,-7.8939530016566195,105.82667537738841,0.3114509743708114
5.757770058183779,9.90807475662592,793.13985795147,138.10405343488554,2.797185989805621,105.41959606456219,-7.986494640573554,105.75868560322094,0.311250599347254
5.767770058183779,9.936059154622276,794.1936781599067,138.02372603238024,2.7996928174147873,105.34446358426398,-8.078975789394478,105.69088956733131,0.3110507916094762
5.777770058183779,9.964068597133414,795.2467475817746,137.94247412031473,2.8021948927357174,105.26943869129308,-8.171396573186414,105.62328692363756,0.31085155014580096
5.787770058183779,9.992103036634695,796.2990672911934,137.86029830172086,2.804692215368561,105.19452103662913,-8.263757115650181,105.55587731725419,0.3106528739186007
5.7977700581837786,10.02016242559699,797.3506383588139,137.77719917839548,2.8071847848628453,105.11971027401155,-8.356057539968035,105.48866039589161,0.3104547618978464
5.807770058183778,10.048246716486647,798.4014618518303,137.69317735090675,2.809672600765449,105.04500605842368,-8.448297968694217,105.42163580833682,0.31025721305663634
5.817770058183778,10.076355861766151,799.4515388339717,137.6082334186021,2.812155662959884,104.97040803538675,-8.540478522906593,105.35480319372503,0.3100602263396227
5.827770058183778,10.104489813894771,800.5008703654926,137.52236797961626,2.814633970308187,104.8959158837723,-8.632599325614743,105.28816222443457,0.30986380078925174
5.837770058183778,10.132648525322235,801.5494575033841,137.43558163086152,2.817107522521275,104.8215292568295,-8.724660497082867,105.22171254699845,0.3096679353718659
5.8477700581837775,10.160831948496874,802.5973013011281,137.34787496805458,2.8195763197024464,104.74724779653151,-8.816662155916593,105.15545379647303,0.30947262901999145
5.857770058183777,10.189040035862583,803.6444028088047,137.25924858571514,2.8220403607502806,104.67307118400818,-8.908604423205098,105.08938564697814,0.3092778807810786
5.867770058183777,10.217272739857309,804.6907630731506,137.16970307716812,2.824499645427139,104.59899907422542,-9.000487417187482,105.0235077462364,0.30908368962485
5.877770058183777,10.245530012914974,805.73638313751,137.07923903455492,2.8269541732589007,104.52503113071913,-9.092311256095782,104.9578197503799,0.30889005454573787
5.887770058183777,10.273811807464744,806.7812640418682,136.98785704883764,2.8294039437680993,104.45116701822529,-9.184076057554961,104.8923213165633,0.3086969745411438
5.897770058183776,10.302118075932606,807.825406822813,136.8955577098096,2.8318489567716205,104.37740639324053,-9.275781937768903,104.82701209349953,0.30850444858358606
5.907770058183776,10.330448770737851,808.8688125136563,136.8023416060918,2.834289211189029,104.30374894176761,-9.367429014790481,104.76189175929905,0.30831247573205983
5.917770058183776,10.3588038442938,809.9114821444226,136.708209325141,2.836724706830564,104.23019432266237,-9.459017403620921,104.69695996467283,0.308121054964885
5.927770058183776,10.387183249010237,810.9534167417821,136.61316145326253,2.8391554432045374,104.15674220540811,-9.550547219482338,104.63221637080083,0.30793018529115207
5.937770058183776,10.415586937292012,811.9946173291056,136.51719857561244,2.841581419815496,104.08339226066184,-9.642018577002435,104.56766063985319,0.3077398657228269
